Temps (s),AccMs.RsolZ,VitMs.RsolZ,DepMs.RsolZ,AccMns.RlgZ,VitMns.RlgZ,DepMns.RlgZ,PtR.RlgZ,Tyre.Defl,NLG.v,NLG.d,NLG.Ftot,NLG.Fhyd,Tyre.FTyre,NLG.FFriJoi,NLG.FGas,NLG.FFriBag,PtB.RlgZ,PtGb.RlgZ,PtGt.RlgZ,NLG.XGb,NLG.XGt,Tyre.Alpha,Tyre.Omega,TR_sl.RsolX,Tyre.Mu,Tyre.Slip,VGR,Total friction,Metering pin Damping factor,Tyre.Omega,Ac Vz,NLG.Pc,Fx ptB (kN) /lg,Fz ptB (kN)/lg,M/y ptB (N.m) /lg,Fx ptB (kN) /sol,Fy ptB (kN) /sol,Fz ptB (kN)/sol,M/x ptB (N.m) /sol,M/y ptB (N.m) /sol,M/z ptB (N.m) /sol,NLG.Pd,NLG.Pg,,Tyre.FSpin,Tyre.Vitx,Tyre.Depx,,,,,,,,,,,,,
0.005,0.2087105489164231,-3.058466075895245,-0.016808956006326,196.1633002060296,-2.0908189900520466,-0.014308009452748044,0.16569199054725195,0.016825243097040782,0.9211821138144147,0.0022376207423229198,3792.0140264258835,2550.288735985678,4703.119133424785,165.6483761025001,810.0581747472104,220.5122604810816,20.97850587169791,0.6504543698049291,0.8056919905472519,-856.5421133853986,648.7803012798514,3310.35935168814,11.882309666944074,618.319923763426,0.2801047457145939,0.9517966103882098,-207.76181210554716,386.16063658358166,3005.372851618867,113.46769913056572,-3.058466075895245,23.850181406691988,-207.76181210554716,4739.038313913459,28.964870252013284,0.6183199237634259,0,4.703119133424784,0,28.964870252013284,0,14.476852672048114,4.12559240649654,0,1317.3659889333906,1.1501673912015398,0.0030176259743122874,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0055,0.7108489767708459,-3.0581106514068597,-0.01833801133202943,165.4217944328315,-2.0081080928356307,-0.015312063499165859,0.16468793650083413,0.017814043306396327,1.0035429862390584,0.002739392235442449,4281.260644373617,3073.643322103717,4979.516042339131,168.54246706456945,813.250053762192,170.7800649147266,20.97850587169791,0.6489485442653917,0.8046879365008341,-647.8070770612429,490.1678888310298,3504.7224263022786,13.634670880095214,717.9520023299992,0.28179775273023266,0.9441011239534879,-157.6391882302131,339.32253197929606,3051.97877377783,130.20151607989658,-3.0581106514068597,28.11412874380299,-157.6391882302131,5028.5370616011705,-28.249795787879943,0.7179520023299992,0,4.979516042339131,0,-28.249795787879943,0,17.239761431364002,4.141848512832079,0,1403.216430415309,1.279688266886669,0.003657470107755622,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,1.2062522858746074,-3.0575075252639223,-0.01986676509466139,133.72019229266093,-1.9412479966893004,-0.01628268749751051,0.16371731250248947,0.01876992134522587,1.0698091190837797,0.003274296794984339,4745.855581034114,3583.56245643521,5246.710297287547,171.61119476371871,816.6764243267166,110.36221794026936,20.97850587169791,0.6474430157075052,0.8037173125024895,-410.8935698882049,310.56215786967374,3694.306881157565,15.481824320673997,823.2573996010359,0.2835855506897124,0.9359747695922164,-100.33141201853118,281.97341270398806,3131.1392840284348,147.84053212293549,-3.0575075252639223,32.356970498193775,-100.33141201853118,5309.9581257693,-91.86552192531471,0.823257399601036,0,5.246710297287548,0,-91.86552192531471,0,20.203411309820755,4.159298874822757,0,1487.891228965674,1.4067409445493215,0.004360840580030283,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006500000000000001,1.6749279976318543,-3.0566700612651063,-0.021395100125293946,104.62430538389754,-1.8889358439973516,-0.017227155419509185,0.1627728445804908,0.019700040677281483,1.1212965307368261,0.003834945060352752,5172.140253134093,4065.1482042401317,5506.704283807029,174.748683273589,820.2942430881102,40.733376369913735,20.97850587169791,0.6459378995201381,0.8027728445804908,-149.51336186211208,112.87442452862305,3880.557561988971,17.422103101668483,933.7763880184245,0.28546524652381444,0.9274306976190256,-36.638937333489025,215.48205964350274,3233.221264942238,166.36882966123085,-3.0566700612651063,36.44674516072278,-36.638937333489025,5585.193640366509,-161.18168463109177,0.9337763880184246,0,5.506704283807029,0,-161.18168463109177,0,23.255691045380495,4.177724274473521,0,1571.9726959107186,1.530291323478312,0.005125986241769439,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,2.1029367598456465,-3.0556185928851836,-0.022922909421736536,80.7115222324607,-1.8485800828811212,-0.018151445460949746,0.16184855453905023,0.020610288676124133,1.1606167976404613,0.004415253459172983,5553.157675003818,4510.067858306859,5761.143685058321,177.84819596680555,824.0678466793644,36.592946171706025,20.97850587169791,0.6444333010798774,0.8018485545390502,-132.94401127383927,100.24492497610404,4064.656744914545,19.454431474125755,1049.0485938250422,0.2874346796589071,0.9184787288231496,32.69908629773522,214.44114213851157,3348.153593511556,185.77613604897974,-3.0556185928851836,40.293911448591665,32.69908629773522,5855.784343864531,-235.54521840124187,1.049048593825042,0,5.761143685058321,0,-235.54521840124187,0,26.28504041301488,4.196943079747679,0,1655.9524895836744,1.6494622973339637,0.0059507173904364205,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0075,2.483238843241919,-3.0543769734635626,-0.02445009790846832,51.20124945663277,-1.8229794581528047,-0.019062935190026147,0.16093706480997383,0.02150793082810956,1.1849946659360748,0.00500775079214102,5946.294095584164,4900.649152711443,6012.059404707791,180.85807159794936,827.951399208499,119.83611968634351,20.97850587169791,0.6429293140178329,0.8009370648099738,-432.95168820926136,326.0614968723775,4247.988859161692,21.578425903706602,1168.627427505087,0.28949218968025303,0.9091264105443044,106.89019133688384,300.69419128429286,3489.9629844128604,206.0587888030263,-3.0543769734635626,43.7687086347742,106.89019133688384,6123.652736484044,-314.269346193273,1.168627427505087,0,6.0120594047077915,0,-314.269346193273,0,29.24177039137191,4.21672185036428,0,1740.444241556617,1.763553988378778,0.006832494384625809,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,2.8751557487810273,-3.052939395589172,-0.025976567606262903,15.726332213301552,-1.8151162920461539,-0.019970493336049226,0.16002950666395074,0.022401701126622486,1.1914420942064672,0.005603471839244254,6351.038159969166,5215.416671815506,6261.892834607073,183.6889451747662,831.8876958032789,206.91687444926663,20.97850587169791,0.6414260348247066,0.8000295066639508,-747.0537682918488,561.9204537579777,4433.713477479043,23.795282642446125,1292.129951370543,0.29173917358511403,0.899378769908795,185.13331453387104,390.60581962403285,3674.0336634644937,227.22821128884468,-3.052939395589172,46.705203541333944,185.13331453387104,6391.136623416992,-396.67770816693707,1.2921299513705429,0,6.261892834607073,0,-396.67770816693707,0,32.03983908684686,4.236769244301401,0,1826.8394406468146,1.8721698321315383,0.007768579300691579,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0085,3.2783058187641645,-3.05130024267979,-0.0275022177276028,-7.795593970970913,-1.8190140890316393,-0.020880000380565044,0.15911999961943493,0.02329739071548087,1.1859300467274496,0.006196436862607979,6682.306809573983,5453.702377786087,6512.2627590517395,186.15767234103433,835.8376220206467,296.8855460405874,20.97850587169791,0.639923562756827,0.7991199996194349,-1074.6331701656186,807.3241520019701,4646.164346004504,26.118364815448377,1419.7203205241894,0.2956451133563568,0.8892334718016708,267.3090181636485,483.0432183816217,3877.6918041599806,249.41201195136287,-3.05130024267979,49.03874116905799,267.3090181636485,6659.858701222562,-482.7091681627626,1.4197203205241895,0,6.512262759051739,0,-482.7091681627626,0,34.49175681276169,4.256886053336356,0,1925.3186616062324,1.9766564179790118,0.008756907509681085,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009000000000000001,3.604972073504374,-3.0494977566430377,-0.02902696660592432,-18.787419494298927,-1.8284077987787888,-0.02179420427995444,0.15820579572004553,0.024197705803433556,1.1747612347566103,0.0067838174799862835,6949.329166589738,5625.3963354844855,6763.925637967648,188.16186912212768,839.7820264009052,389.06919648915726,20.97850587169791,0.6384219782400593,0.7982057957200456,-1414.1237693264166,1061.070497057413,4864.2301957676555,28.550479913332204,1551.162273554703,0.29972690369010274,0.8786314189867463,353.0532722690036,577.231065611285,4076.1852377023333,272.6370003511613,-3.0494977566430377,50.79825868607321,353.0532722690036,6930.522911137052,-572.0433288628756,1.5511622735547028,0,6.763925637967647,0,-572.0433288628756,0,36.48982304488551,4.276974739885843,0,2027.330488258146,2.076922122225539,0.009795368570793855,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0095,3.8647378891545343,-3.0475653876984605,-0.03055074929977355,-18.647752726603965,-1.8377316751420907,-0.022713070117525484,0.15728692988247447,0.025102612004251595,1.1635343464750088,0.007365584653223788,7168.537524374035,5747.245529252558,7016.871859456155,189.68820367688818,843.720166415585,483.4733169482956,20.97850587169791,0.6369213452292507,0.7972869298824745,-1764.5769063607688,1322.4247075262037,5088.15636747801,31.094558097071207,1686.2369381965107,0.3039884549581886,0.8675624546540556,442.15219883456507,673.1615206251838,4245.2310841714325,296.9311574644201,-3.0475653876984605,52.08528287263744,442.15219883456507,7203.081780518099,-664.4742197724999,1.6862369381965108,0,7.016871859456154,0,-664.4742197724999,0,38.01485363271377,4.297031522283421,0,2133.0480351956685,2.172942874971573,0.010881840008279641,0,0,0,0,0,0,0,0,0,0,0,0,0
