Temps (s),AccMs.RsolZ (m/s²),VitMs.RsolZ (m/s),DepMs.RsolZ (m),AlY (rad/s²),OmY (rad/s),ThAY (rad),ThRY (rad),Tyre.Defl (m),Tyre.FTyre (N),MLG.v (m/s),MLG.d (m),MLG.Ftot (N),MLG.Fhyd (N),MLG.FFriJoi (N),MLG.FGas (N),TA_bal.RsolZ (N),TA_bal.RsolX (N),MLG.Entraxe (m),Section de la BH (mm²),Course centre roue (m),Tyre.Alpha (rad/s²),Tyre.Omega (rad/s),TR_bal.RsolX (N),Tyre.Mu,Tyre.Slip,MLG.Pc (bar),MLG.Pd (bar),MLG.Pg (bar),MLG.DeltaPc (bar),MLG.DeltaPd (bar),Hydrau.Qc total (m³/s),Hydrau.Qc rainures BH (m³/s),Hydrau.Qc fuite annulaire (m³/s),Hydrau.Part fuite (-),Hydrau.Re fuite annulaire (-),Hydrau.Erreur convergence (-),Hydrau.Itérations convergence (-),Reaction sol verticale (N),Reaction sol horizontale (N),Torseur.Resultante X (N),Torseur.Resultante Y (N),Torseur.Resultante Z (N),Torseur.Resultante norme (N),Torseur@C (rotule).Effort X (N),Torseur@C (rotule).Effort Y (N),Torseur@C (rotule).Effort Z (N),Torseur@B (pivot).Effort X (N),Torseur@B (pivot).Effort Y (N),Torseur@B (pivot).Effort Z (N),Torseur@B (pivot).Moment X (N·m),Torseur@B (pivot).Moment Z (N·m),Énergie.Cinétique masse susp. (J),Énergie.Cinétique rotation balancier (J),Énergie.Cinétique rotation roue (J),Énergie.Cinétique horizontale roue (J),Énergie.Stockée gaz (J),Énergie.Stockée pneu vertical (J),Énergie.Stockée ressort horizontal (J),Énergie.Dissipée hydraulique (J),Énergie.Dissipée friction joint (J),Énergie.Dissipée amortisseur horizontal (J),Énergie.Dissipée glissement pneu (J),Énergie.Emmagasinée butée (J),Énergie.Apport total (J),Énergie.Résidu de bilan (J)
0.0,-3.2373,-3.050582714,-0.00054910488852,-0.0,0.0,-0.5038515632210895,-0.502808499972486,0.0006594254298439295,161.63590768732598,-6.167905692361981e-13,-0.00020199000000009626,0.8645399776949034,-5.3211450756224025e-11,-0.29698272659107033,1941.5268984996865,0.8371507335405873,0.21588891209406869,0.5856975066352686,6.364065497194204,-0.24511032054132398,56.730413107170634,0.010211474359290715,1.3513977612375305,0.2695,1.0,9.888115297346975,9.888115297347452,9.888115297347253,-2.785362675383453e-13,-4.771848675902228e-13,-9.591638369523736e-16,-9.591638369523736e-16,0.0,0.0,0.0,0.0,0.0,161.63590768732598,1.3513977612375305,1.3513977612375307,0.0,161.63590768732598,161.64155693946668,0.21588891209406869,0.0,0.8371507335405873,1.135508849143462,-0.0,160.7987569537854,-25.86174522997218,0.21622364179800507,5816.284309347253,0.0,8.871128295832681e-06,2.9557990627846544e-06,-0.3921480958386281,0.05329341395246432,9.208450926367578e-09,5.374090469127407e-15,2.9993770472079443e-05,8.248989171609883e-08,0.15288832966946037,0.1959672011285445,5816.437420248204,0.1430681396423097
0.00036,-3.000314650602928,-3.051682209066401,-0.0016476132735892249,-29.443620919178848,-0.009242857703850287,-0.5038539366765451,-0.5028108734279416,0.0017576138733891855,430.8197726865585,0.002282376968902137,-0.00020140391297873705,58.58935092900833,0.4689010762447033,45.983158268054744,1941.536740880993,56.73321395315508,14.630600699493476,0.5856969205482473,6.364065497194204,-0.24511000059979993,150.47842321550442,0.05596676761841675,7.783031075413649,0.2695361127429831,0.9998358511682588,9.892170568773816,9.89124711028447,9.88816542418363,0.00400514459018712,0.0009234584893467892,3.5492734862970085e-06,3.5492734862970085e-06,0.0,0.0,0.0,6.8687457446489805e-06,16.0,430.8197726865585,7.783031075413649,7.783031075413649,0.0,430.8197726865585,430.8900696354219,14.630600699493476,0.0,56.73321395315508,-6.847569624079827,-0.0,374.0865587334034,-68.93116362984942,1.245284972066185,5820.477690707744,4.27152092668123e-05,0.0002664786425314023,8.547328371495438e-05,-0.3910101892615508,0.3786074047021353,7.758898057381293e-07,1.3260767319310816e-07,5.1666615192056425e-05,3.845432716748388e-06,1.2735070197988572,0.19483319256434734,5822.003621179958,0.06954195673006325
0.00072,-2.784994319010523,-3.052704183996556,-0.002746496546012049,-60.47232848592615,-0.02832117535399581,-0.5038621729962296,-0.5028191097476261,0.002855386880150357,699.9018073670875,0.006993491348373916,-0.00019937007869219592,103.72657841458795,3.269199568313651,50.4605192603437,1941.57129850657,100.4405691292661,25.901643627128777,0.5856948867139607,6.364065497194204,-0.2451088903341383,243.31774278896933,0.13522610642011124,19.630826188263562,0.26961413517760796,0.9994812037381456,9.917851789101187,9.914765606744115,9.888341424725455,0.029510364375731443,0.0030861823570716555,1.0875389994894592e-05,1.0875389994894592e-05,0.0,0.0,0.0,9.840597437114243e-06,30.0,699.9018073670875,19.630826188263562,19.630826188263562,0.0,699.9018073670875,700.1770556741698,25.901643627128777,0.0,100.4405691292661,-6.270817438865215,-0.0,599.4612382378214,-111.9842891787341,3.1409321901221725,5824.3767718688,0.0004010444867158898,0.001555689945380492,0.0004790787598509324,-0.3870613901268504,0.9992452190747518,8.626889601139796e-06,3.785042765417651e-06,0.00015073943592618908,3.208121606594968e-05,3.4116668971731965,0.19094762133861573,5828.590243396789,-0.003957865244956338
0.00108,-2.5698087725961067,-3.0536486777153624,-0.0038457268081853475,-84.13355760605376,-0.05670415606287037,-0.5038798605651458,-0.5028367973165423,0.003952232780861875,968.7565932624225,0.014002368840958387,-0.00019500236849312458,194.2503695593466,11.496069213857883,52.65608049807671,1941.6455100380153,188.09699253919112,48.50492213842027,0.5856905190037617,6.364065497194204,-0.24510650597267641,335.2484824619209,0.24766214916535792,37.34363140025718,0.26973345115590436,0.9989388583822529,9.994341743461066,9.987398277882276,9.888719380951503,0.10562236250956311,0.006943465578790125,2.1774727661979305e-05,2.1774727661979305e-05,0.0,0.0,0.0,8.871876447129763e-06,49.0,968.7565932624225,37.34363140025718,37.34363140025718,0.0,968.7565932624225,969.4760872737259,48.50492213842027,0.0,188.09699253919112,-11.161290738163089,-0.0,780.6596007232314,-155.00105492198773,5.9749810240411545,5827.981404320488,0.001607680657401179,0.00521820615149203,0.00153758622867948,-0.3785810072970425,1.91437578228391,4.623866595981634e-05,3.552993087570723e-05,0.0003766569817677143,0.00013857379695491646,6.5658380460062755,0.18286097798248618,5836.197462242237,-0.07739634964036668
0.00144,-2.3548436541029645,-3.054515762623671,-0.004945276185795476,-96.27082829514288,-0.09055442493900541,-0.503909340983287,-0.5028662777346835,0.0050478078990678354,1237.2998896784882,0.02236160798011847,-0.0001877224701669622,341.255405310317,27.34478866172908,53.96417138907836,1941.7692073729859,330.4463907192497,85.20818337536413,0.5856832391054355,6.364065497194204,-0.24510253171327223,426.2845262400367,0.39295119124487166,61.27426502874211,0.2698934492253257,0.9982115944303377,10.142464270871635,10.129919882619573,9.889349366305353,0.25311490456628033,0.012544388252060957,3.477395937450793e-05,3.477395937450793e-05,0.0,0.0,0.0,9.115506023939474e-06,69.0,1237.2998896784882,61.27426502874211,61.27426502874211,0.0,1237.2998896784882,1238.8161899786471,85.20818337536413,0.0,330.4463907192497,-23.933918346622022,-0.0,906.8534989592386,-197.96798234855828,9.803882404598745,5831.291590072792,0.004100051938016982,0.013136485087467472,0.0036905059575909668,-0.3644455751503726,3.122826078317417,0.0001677719693149391,0.00017633385734294694,0.0007652573866386732,0.00042115482203312703,10.733796313715345,0.1701473514925368,5844.825512928072,-0.15085887411350996
0.0018000000000000002,-2.140145827083675,-3.0553055316884326,-0.006045116836478515,-95.86598183479552,-0.12537223596785468,-0.5039513689304239,-0.5029083056818204,0.006141982387851852,1505.4998690222913,0.03096026196895233,-0.00017734386583900807,542.2847821110822,50.3143621582746,54.86285638376312,1941.9455737932185,525.1108528042877,135.39341629642703,0.5856728605011076,6.364065497194204,-0.24509686555137322,516.4565953512727,0.5707790576517257,91.68137746707438,0.27009352926693087,0.9973021396957689,10.357701222118793,10.338259904053386,9.890247593107768,0.4674536290110252,0.019441318065406624,4.814546289504244e-05,4.814546289504244e-05,0.0,0.0,0.0,9.974352772316585e-06,87.0,1505.4998690222913,91.68137746707438,91.68137746707438,0.0,1505.4998690222913,1508.2888750502657,135.39341629642703,0.0,525.1108528042877,-43.71203882935265,-0.0,980.3890162180036,-240.8799790435668,14.669020394731914,5834.307432478709,0.007859098775789717,0.02771647643052135,0.0073973082151832376,-0.3442918056456384,4.623376840224092,0.000476318501592861,0.000579915259140635,0.0013303531207588416,0.0010275849979085828,15.91283689785336,0.15361685862981023,5854.474860388145,-0.22449793692794628
0.00216,-1.9257199208743434,-3.0560180832930506,-0.007145220953138577,-85.1759946074176,-0.15718401835876983,-0.5040051954748077,-0.5029621322262042,0.007234829036337931,1773.374373093065,0.03881723685323419,-0.00016405127981711232,782.8905765541497,77.11950458566702,55.53067844959959,1942.1714928085755,758.1014657726823,195.44774864551243,0.5856595679150857,6.364065497194204,-0.24508960808319924,605.8105313766986,0.7808468050793518,128.7325435551117,0.27033310971077096,0.9962131376783139,10.609331867604402,10.582581607668068,9.891398189204809,0.7179336783995922,0.026750259936333894,6.0363678748773005e-05,6.0363678748773005e-05,0.0,0.0,0.0,9.187327167603663e-06,103.0,1773.374373093065,128.7325435551117,128.7325435551117,0.0,1773.374373093065,1778.0407011408345,195.44774864551243,0.0,758.1014657726823,-66.71520509040073,-0.0,1015.2729073203827,-283.73989969489065,20.59720696881789,5837.029078383832,0.012353407813705045,0.051872076435198845,0.013105122032769976,-0.3184768255652125,6.4150302033756414,0.0011416866411242033,0.0014300790877859234,0.002064329206144375,0.002156505957105771,22.100024998652678,0.13504157995151814,5865.146385823851,-0.29843572356912773
0.00252,-1.711535846691529,-3.0566535078357298,-0.008245560762198007,-68.80482285978647,-0.18349458628282395,-0.5040690242496089,-0.5030259610010054,0.008326561849671676,2040.9758580358016,0.045316371933957884,-0.00014828807695110857,1042.2247448157775,103.44770123581722,56.034748289607,1942.4394550684387,1009.2316104517361,260.1614405927745,0.5856438047122197,6.364065497194204,-0.24508100108747355,694.4016541100281,1.0228747103250002,172.50825884672963,0.2706116333464341,0.9949471211525721,10.856912167297702,10.823389465787267,9.892762909787827,0.9641492575098761,0.033522701510435016,7.047029362691225e-05,7.047029362691225e-05,0.0,0.0,0.0,9.493908121049517e-06,113.0,2040.9758580358016,172.50825884672963,172.50825884672963,0.0,2040.9758580358016,2048.25329304149,260.1614405927745,0.0,1009.2316104517361,-87.65318174604488,-0.0,1031.7442475840655,-326.55613728572854,27.601321415476765,5839.456666852795,0.01683513159755236,0.08901164765738519,0.0212118080753486,-0.287859870409398,8.497155857810911,0.002416744069316354,0.002859254316902945,0.0029438557658812755,0.004053958586538689,29.29241926452189,0.11652871262288618,5876.841539590516,-0.3727036268955999
0.00288,-1.4975441896577473,-3.057211879266311,-0.009346108518302134,-52.05736882079938,-0.20369457590818785,-0.5041406676381861,-0.5030976043895826,0.009417447658555955,2308.36972839953,0.05030708073326827,-0.00013059426860728696,1299.8534873730214,126.20289172260578,56.408807792765245,1942.740306932088,1258.7151306578191,324.43074528915326,0.5856261109038758,6.364065497194204,-0.2450713391402537,782.2872922875788,1.2966036787835618,223.00655806124894,0.27092857034428963,0.9935064984350473,11.071343567839042,11.032173707335245,9.894295135747448,1.1770484320915933,0.039169860503797276,7.823117523555994e-05,7.823117523555994e-05,0.0,0.0,0.0,9.978221146903356e-06,118.0,2308.36972839953,223.00655806124894,223.00655806124894,0.0,2308.36972839953,2319.116799113327,324.43074528915326,0.0,1258.7151306578191,-101.42418722790433,-0.0,1049.6545977417106,-369.33915654392507,35.68104928979986,5841.590296704406,0.02074574012720825,0.1430264820684682,0.03203571744073877,-0.2534880574481227,10.869475546898798,0.004650807675314194,0.004898168860685389,0.003938798615930582,0.007006145323796097,37.487212890030186,0.09988171240186332,5889.562424016921,-0.4472566394797468
0.0032400000000000003,-1.283694042913737,-3.057693252953146,-0.010446836497678276,-39.433773279153854,-0.21889389850440802,-0.5042181917873935,-0.50317512853879,0.01050771918448562,2575.6130280111265,0.05406331763996913,-0.00011144724848188847,1540.4928719646473,144.77770368138627,56.68777174614834,1943.0659543892773,1491.751970941468,384.44030195354594,0.5856069638837504,6.364065497194204,-0.24506088268680715,869.5198390717738,1.6017940586005552,280.14807209793696,0.27128341808536327,0.9918935541574398,11.246838323714117,11.203162275696581,9.89595364462799,1.3508846790861258,0.04367604801753619,8.407241568886303e-05,8.407241568886303e-05,0.0,0.0,0.0,9.758952451988744e-06,121.0,2575.6130280111265,280.14807209793696,280.14807209793696,0.0,2575.6130280111265,2590.8040088669068,384.44030195354594,0.0,1491.751970941468,-104.29222985560898,-0.0,1083.8610570696585,-412.09808448178063,44.82369153566995,5843.430018221995,0.02395726940122904,0.2182806883397459,0.04579286083574566,-0.21628725221201223,13.531909213121805,0.008298895183765427,0.00749825352779336,0.005021640711014833,0.011329226985716638,46.68176660215232,0.08623605871676125,5903.31179421491,-0.5220274638486444
