pos_mm,section_mm2
0.0,6.364065497194127
1.0,6.364065497194127
2.0,6.364065497194127
3.0,6.364065497194127
4.0,6.364065497194127
5.0,6.364065497194127
6.0,6.364065497194127
7.0,6.364065497194127
8.0,6.364065497194127
9.0,6.364065497194127
10.0,6.364065497194127
11.0,6.364065497194127
12.0,6.364065497194127
13.0,6.364065497194127
14.0,6.364065497194127
15.0,6.364065497194127
16.0,8.083558027506083
17.0,9.80305055781804
18.0,11.522543088129998
19.0,13.242035618441953
20.0,14.961528148753914
21.0,14.961528148753914
22.0,14.961528148753914
23.0,14.961528148753914
24.0,14.961528148753914
25.0,14.961528148753914
26.0,14.961528148753914
27.0,14.961528148753914
28.0,14.961528148753914
29.0,14.961528148753914
30.0,14.961528148753914
31.0,14.961528148753914
32.0,14.961528148753914
33.0,14.961528148753914
34.0,14.961528148753914
35.0,14.961528148753914
36.0,14.961528148753914
37.0,14.961528148753914
38.0,14.961528148753914
39.0,14.961528148753914
40.0,14.961528148753914
41.0,14.961528148753914
42.0,14.961528148753914
43.0,14.961528148753914
44.0,14.961528148753914
45.0,14.961528148753914
46.0,14.961528148753914
47.0,14.961528148753914
48.0,14.961528148753914
49.0,14.961528148753914
50.0,14.961528148753914
51.0,14.961528148753914
52.0,14.961528148753914
53.0,14.961528148753914
54.0,14.961528148753914
55.0,14.961528148753914
56.0,16.68102067906587
57.0,18.400513209377827
58.0,20.120005739689784
59.0,21.83949827000174
60.0,23.558990800313698
61.0,23.558990800313698
62.0,23.558990800313698
63.0,23.558990800313698
64.0,23.558990800313698
65.0,23.558990800313698
66.0,23.558990800313698
67.0,23.558990800313698
68.0,23.558990800313698
69.0,23.558990800313698
70.0,23.558990800313698
71.0,23.558990800313698
72.0,23.558990800313698
73.0,23.558990800313698
74.0,23.558990800313698
75.0,23.558990800313698
76.0,23.558990800313698
77.0,23.558990800313698
78.0,23.558990800313698
79.0,23.558990800313698
80.0,23.558990800313698
81.0,23.558990800313698
82.0,23.558990800313698
83.0,23.558990800313698
84.0,23.558990800313698
85.0,23.558990800313698
86.0,23.558990800313698
87.0,23.558990800313698
88.0,23.558990800313698
89.0,23.558990800313698
90.0,23.558990800313698
91.0,23.558990800313698
92.0,23.558990800313698
93.0,23.558990800313698
94.0,23.558990800313698
95.0,23.558990800313698
96.0,23.558990800313698
97.0,23.558990800313698
98.0,23.558990800313698
99.0,23.558990800313698
100.0,23.558990800313698
101.0,23.558990800313698
102.0,23.558990800313698
103.0,23.558990800313698
104.0,23.558990800313698
105.0,23.558990800313698
106.0,23.558990800313698
107.0,23.558990800313698
108.0,23.558990800313698
109.0,23.558990800313698
110.0,23.558990800313698
111.0,23.558990800313698
112.0,23.558990800313698
113.0,23.558990800313698
114.0,23.558990800313698
115.0,23.558990800313698
116.0,23.558990800313698
117.0,23.558990800313698
118.0,23.558990800313698
119.0,23.558990800313698
120.0,23.558990800313698
121.0,23.558990800313698
122.0,23.558990800313698
123.0,23.558990800313698
124.0,23.558990800313698
125.0,23.558990800313698
126.0,23.558990800313698
127.0,23.558990800313698
128.0,23.558990800313698
129.0,23.558990800313698
130.0,23.558990800313698
131.0,23.558990800313698
132.0,23.558990800313698
133.0,23.558990800313698
134.0,23.558990800313698
135.0,23.558990800313698
136.0,23.558990800313698
137.0,23.558990800313698
138.0,23.558990800313698
139.0,23.558990800313698
140.0,23.558990800313698
141.0,21.83949827000174
142.0,20.120005739689784
143.0,18.400513209377827
144.0,16.68102067906587
145.0,14.961528148753914
146.0,14.961528148753914
147.0,14.961528148753914
148.0,14.961528148753914
149.0,14.961528148753914
150.0,14.961528148753914
151.0,14.961528148753914
152.0,14.961528148753914
153.0,14.961528148753914
154.0,14.961528148753914
155.0,14.961528148753914
156.0,14.961528148753914
157.0,14.961528148753914
158.0,14.961528148753914
159.0,14.961528148753914
160.0,14.961528148753914
161.0,14.961528148753914
162.0,14.961528148753914
163.0,14.961528148753914
164.0,14.961528148753914
165.0,14.961528148753914
166.0,14.961528148753914
167.0,14.961528148753914
168.0,14.961528148753914
169.0,14.961528148753914
170.0,14.961528148753914
171.0,14.961528148753914
172.0,14.961528148753914
173.0,14.961528148753914
174.0,14.961528148753914
175.0,14.961528148753914
176.0,14.961528148753914
177.0,14.961528148753914
178.0,14.961528148753914
179.0,14.961528148753914
180.0,14.961528148753914
181.0,14.961528148753914
182.0,14.961528148753914
183.0,14.961528148753914
184.0,14.961528148753914
185.0,14.961528148753914
